company_id,sentence_english
1,"New product sales targets are not being met Gap between planned volume and sales volume Increased production and production capacity Training of young people Lack of efficient collection and analysis of Voice of the Customer (VOC) Switching between existing and new products (how to handle existing products) Design know-how is not shared by individual designers Not enough personnel to do cost planning. VE extraction (no idea) Difficulty in coordinating with production bases, including those overseas Unable to meet development deadlines. Shortening the product cycle Collaboration within the Chinese design department Backtracking occurs after product release. Delays and setbacks due to delays in procuring prototype parts Production of parts is discontinued. Many parts are discontinued. Production was suspended due to parts shortages. The environment for collaboration with China is not well-developed. Reduction of man-hours between production and development departments in China Unable to reduce the cost of goods purchased. Unable to gain a tremendous technological advantage over the competitors Poor coordination with global locations (information sharing and processes) Market response costs (failure costs) are high. Development deliverables are not shared and managed Training of human resources for system development Large investments are on the rise Define technology and product strategies to extend the life cycle A roadmap that includes the life cycle through portfolio management Informed decisions on which products to develop Having someone to manage it. Information sharing with each functional department under development We have tools to manage it. Influence, including quality guidance to component manufacturers Sharing of quality information with global bases Setting quality standards for products developed in the fastest way possible with the latest technology Quality maintenance control independent of people Determine product requirements based on quantitative knowledge of customer needs New product specifications are not influenced by the voice of some users. Get more customers than your competitors with valid information Developers understand the customer's application and set specifications. Take your time and document it for later reuse. Allowing design to be done with undetermined information in the early stages of design More lateral development of designs for each model family Methods for managing know-how Improve cost planning skills Clarification of roles and responsibilities in the development process Establishing a review process for component selection Unifying the development process IT Tools for Communicating with Foreign Countries Strengthening Overseas Cooperation Building an Information Sharing Environment with Overseas Development of low-cost parts for BRICS Take advantage by implementing bulk purchases like our competitors."
2,"The service business is weak. I don't have all the information and numbers I need for management. Regulatory Compliance Our Core Technology Vision for the Future Core Competencies for Future Products Unable to see product cost information as PLM quality Departmental interests take precedence and the company-wide perspective is less important There's a trauma to globalization in the information system. We can't solve problems across all departments. Company-wide common (including overseas) Transfer of technical skills (education) Training of human resources in your department The right people are not in the right place Shortage of human resources in our department Lack of training (growth) of the next generation of leaders Leadership Development IT development management (getting things done) Misperceptions of the problem, even between the person in charge and the supervisor I have a lot of personal matters to deal with and I can't judge. The skills required are too great. Difficult to grasp costs in the upstream design stage Insufficient level of design process information sharing The nature of the design problem is not understood by the IT department. information sharing Sharing of Design Methods The information you need is scattered and difficult to gather. How to bridge the gap between business processes and tools Full use of 3D data The effectiveness (happiness) of IT proposals and how to show them A system for determining strategic (company-wide) business models and products Management and IT working together by the CIO Mechanisms for information sharing and agreement between departments Future Projections of Product Function Configuration Clear responsibility for the product Realization of effects through visualization Unlike in the past, you can invest in IT. Market demand levels and goals for the product are aligned Achieve both partial and total optimization A company-wide system of activities without prioritizing interdepartmental interests The department responsible for managing and supervising product information The degree of impact of the change is visible. Digitization of Product Information The number of predictions and details of the process are incorporated into the process Duty to enter the required information into the system Setting up project management There is no divisional cover, which is viewed centrally by product rather than as a complete division. No unreasonable schedule and good planning. People and organizations grow even when there is a lot of organizational change. Design know-how can be shared and there are no barriers (tacit knowledge) between departments. The base data management is in place. Integrated project management tools allow for centralization. Common internal projects are made explicit. Project units are not obscured across the company. Problems in the initial design (conceptual design) are shared No gap in man-hours or time frame with the ideal process Not a lot of complexity. Freedom vs. Completion Timely communication of information on quality issues, including overseas There is a detailed history of product information and a department to maintain it. Information in multiple languages does not take much time for interpretation Standardization of operations inbound marketing Shared product requirements across the board Information sharing (IT) is taking center stage at each site and function Even if the data is in a functional department, it's all consolidated. Procurement analysis skills Cooperation between headquarters The Bottom Line of Service Department Improvement and Its IT Strategy"
3,"Lots of paperwork and emails. All sorts of information has been made personal. There are no design standards. There's a lot of paperwork involved. We're not sharing information. The design has not been standardized. There's a gap in the level of information with the manufacturing department. There's a lot of variability in training of subordinates. I don't have time to go to customers or partner companies. Improving the level of young engineers IT systems are not being used effectively Lots of meetings. Poor service to designers. Just carrying out development events and not much substance. Interdepartmental barriers Poor coordination with the factory. Development lead time is not improved. The costs are hard to see. New product development is not progressing as planned. Few new development themes. Demand for lower prices Inefficient business conditions Global Coverage No clear business plan or strategy for overseas expansion Incorporate requirements at the conceptual stage before entering the development process Strengthen access to information in new markets A system that allows each department to follow up on project delays Centralized progress management from Japan The current development process involves each department with a sense of participation When developing globally, the division of roles and management between domestic and overseas development should be clear. Transferring to the plant will keep operations running as planned. Make sure that the details of the detailed design verification are implemented. Design Education for Foreigners Sharing of know-how between global development sites Design events effectively and efficiently Organizational Collaboration Limit schedule delays due to repeated evaluations and modifications There is no variation in the items to be done during the evaluation. Allow enough time for product and equipment evaluation to avoid problems during the mass production phase Sufficient validation at the product build-out stage Evaluation and verification based on design standards Quality control overseas and quality control for use at customers' sites Strengthen domestic and international procurement functions Development of Overseas Partners Considering the constraints of parts procurement Gathering information on overseas suppliers Expanding overseas with no gap between domestic and overseas Securing personnel in other departments who can understand facility design"
4,"Decline in business strategy Information management at each production site Product data is not shared between departments  Strengthen system integration and cooperation with each company Design data is not being used effectively throughout the entire manufacturing process. shortage of personnel Only a limited number of designers can be entrusted with important tasks. Insufficient efforts to develop human resources capable of leading the entire product development process The quality of in-process design data varies depending on the designer and design team assigned to the project. Design quality is dependent on the abilities and skills of some ace designers It takes time to train personnel (new and mid-career) Education in Design Skills You can't see the workload of various tasks and suddenly you discover that you can't meet the deadline one day. You're not managing resources across the design. As a result, the design man-hours are exceeded because of the large number of quality check items, which are called  product quality build-up . Design rework due to the manufacturing phase There is a lot of design-related rework at the production stage. Inconsistencies in the design work are not uncovered until later in the design process. Inability to incorporate data on manufacturing requirements at the design stage The exact performance of a product cannot be known until the actual product is built. Centralization of scattered documents Degradation of IT infrastructure System integration and linkage enhancement (including BCP) Response deterioration More data and worse system response. Development costs cannot be grasped in real time. Or, it takes a lot of man-hours to figure it out. There is no system to keep track of environmental regulatory data while designing products. Component information (discontinuation and regulatory compliance) is not shared among designers Design data is not being used effectively throughout the entire manufacturing process. Design data, documents and calculations are owned by individuals and not shared with stakeholders. Effective use of 3D CAD data Design products cannot be reused as they are owned by the individual Gathering, accumulating and passing on know-how Past complaints, defects and failures are not shared, so the same mistakes are repeated. Design know-how is owned by individuals and is not good at sharing it as departmental knowledge. Upgrading market trend research. System integration and cooperation with each company is necessary System Unification Integration of CAD systems and strengthening of linkages with mission-critical systems. And urgent BCP measures are needed. In particular, we need a system for collecting data. It is important to raise awareness that each person should accumulate know-how, not just a tool theory. Introduce examples of data use and develop new applications Centralized or virtualized database to clarify document storage rules We do not teach tools, but design and manufacturing skills necessary for manufacturing. A dedicated project manager's department and training environment is needed We need a dedicated resource management department. Analysis using a pre-validation tool is required. Manufacturing practice by the designer is required. Establishing a dedicated project manager's department for timely release to the market Update hardware (server and client), decentralize data, and make the system easy to use without stress A fundamental review of how design data is used is needed. Fundamentally reviewing the use of 3D CAD data and establishing how to utilize it. Introduce examples of data use and develop new applications Investigation of the analysis-driven design process and its development Centralized or virtualized database to clarify document storage rules"
5,"You can't develop a product that sells. Fewer No. 1 products! Unified and individual, difficult to find the best! Role. Specification leak additional cost delayed delivery The whole thing is not pointing in the same direction as a single unit. The axis of manufacturing is swinging. ODM constitution Inability to adequately reflect the needs of the field Say this and say that. Dragging the past away. Design = Adjuster Employee Motivation. Downward spiral technological strength Automotive equipment Conservative Constitution Rules for getting the design right from the start Raising Management Awareness Organizational Flexibility Building project management with control over in-house/outsourcing Building a process that allows for the systematic incorporation of past successes/failures Early FIX of design specifications and direction Evaluative support for design proposals through the use of CAE Tools that embody building in your head Establishment of an integrated system from upstream to downstream (manufacturing) information retrieval Systematization of variation development (automation) Breaking away from Excel Variations in design/reuse of past models for faster completion　  It's all recombined on an Excel basis, which looks good, but it's hard to create and manage　 Higher efficiency through centralized P/N and P/S management Complexity of information transfer between design methods and CAD files If a problem arises, can you get the drawings and any changes to the documents immediately? That said, I'm having a pretty hard time with it. Early design - even details are hard to manage in the configuration. There are no rules for managing changes before the original drawing is registered (because of the importance of speed). Is it necessary to manage the deliverables of an outside manufacturer in the first place? And so on.　 Outsourcing Design Quality Improvement The business process at ODM is not clear. Groping Design Information Transfer"
6,"Weak marketing. Too many product lines. The products handled by the entire company have different characteristics, making it difficult to adopt a unified approach. We don't have the tools to collaborate. cost consciousness Know-how is focused on the individual. Insufficient information sharing Fewer derivative products, some of which seem to have popped up? Competitors get bigger through acquisitions, and the competitive edge makes the difference. Global Development Poor manufacturing and design infrastructure Control of overseas manufacturing sites (do you think they are not cost/quality conscious?) There's too much load on the technicians. Information is dispersed. New technology doesn't come out, and we become a normal company and go down. Other companies are launching new products that are vastly superior in performance. speed of development Training for managerial positions in the manufacturing sector Lack of technology We are so busy with day-to-day operations that we are not focused on improvement. Not enough software assets are being reused When there is a development problem, it is brought to light early Assign tasks to people of varying abilities without relying on intuition and experience. There is no shortage of development resources, even if it's an unexpected event such as a field claim or a special order response. Decide how far you want the quality to go and set quality goals. Why do we use these standards for quality, acceptance and inspection standards and for each component? It is clear why it was decided to do so. Why did the performance you thought you had established at the prototype evaluation stage not fail at the mass production stage? Consistent part accuracy between prototype and mass production Technicians are able to multitask and still manage New product launch schedules are taken into account in the frequency of drawing revisions. Sharing the image of quality and cost performance of design and procurement vendors Containment in the manufacturing process, not in the final inspection, can be specified by the start of mass production. There is design documentation to guarantee quality and is not dependent on the manufacturer's know-how Complaints, defects and failures are shared There is overall governance on common parts. Fewer modules with equivalent functionality Manufacturing of parts (discontinuation and regulatory compliance) is shared The parts we purchase are standardized. 3D models (before prototyping) are verified and there is no rework on the actual product. DR using 3D-CAD, etc., and all divisions are using the tools. If the specification or design is changed during product design and development, the change procedure is also fixed. No mismatch between the drawings and the 3D data when exchanging 3D data with the vendor during development. There's a tool to drop from E-BOM to M-BOM. It doesn't take a lot of time to investigate the problem because you can track down who changed it, for what, and when. No development delays because there are no omissions in pre-evaluation and verification and performance is produced."
7,"It's not development efficiency. Development schedule delayed. There's a lot of backtracking and delays in planning. Development resource management (with priorities) We don't have the ability to integrate with our global offices. Global, the organization is not making the most of it. Weak use of 3D data (concurrent engineering) Use of Model Data Development efficiency is uneven for each product. Problems with schedule management (increased number of prototypes) I don't see a development plan. Product modularity and commonality issues The role of the organization is unclear. There is no joint design infrastructure with foreign countries. The need for front-loading of design and downstream processes Collaboration with other departments (data exchange) You're not controlling costs. cost-building The design information is not centralized. Communication/retrieval of information is manual (data duplication) New product proposals have not been made. New products are not being created. I can't see the development process. No development cost control. Targeted costs are not being met. It's hard to see the cost at the time of design. Lack of industry-specific drawing management Failure to pass on technical information and know-how New products cannot be made on a regular basis. Performance has not been achieved, target of the required specifications The operational rules are obsolete and unclear. The development plan is consistent. There are specific management methods (per department and per person) Clear indicators to measure project results The deliverables (tools) are common to all business units. Managing the development budget Managing development delays Project management is not on paper (granularity, reliability) Real-time man-hour tracking and progress management Simple structure of the product catalog Not including procurement and production in the development BOM No dual use of EBOM and MBOM (no load on the design) Centralized management of product information (less time spent searching for related documents, etc.) Updates and revisions are automatic. Start designing once the specifications are clear. Less time to design to meet requirements Change management with 3D data Data sharing and progress in joint development with overseas companies Quality control with no feedback leakage with 2D and 3D integrated Sharing tools, illustration numbers and methods with overseas We don't spend a lot of time communicating. Cost and installation defects can be detected in the preliminary stages We don't spend a lot of time evaluating performance. 2D and 3D are in sync. Use of CAE and DMU (Digital Mockup) No time or money is spent on evaluating and validating prototypes. We don't spend a lot of man-hours setting up and backtracking on evaluations."
8,"Lack of development resources Lack of resources and work forced on each other There is a lack of investment improvement initiatives on the part of distributors There is a lack of knowledge sharing. Many cooks The technicians are doing a lot of administrative work. Fewer and fewer people have the ability to think. We're not training our people. It's stuck. Same thing over and over, no evolution. We're not developing our people. Insufficient personnel Human resource development and technology transfer Division of work with other departments (division of responsibilities) Misunderstandings and lack of communication There is no information sharing between groups. Insufficient accumulation of knowledge (human dependence) I haven't been able to pass on my skills. Business priorities are changing. New generation of new product development plans are untapped Signs of deteriorating company performance and demands to reduce parts costs No product planning skills. Design rework. development efficiency is low We're not working on new technology. New Business Creation It's a tough situation. No medium- to long-term business vision. Setting of high-level business goals that are difficult to achieve Suddenly a big job from Top management China risks, politics, and costs (labor costs) Prioritize cost and schedule over quality. Winning patterns are unclear. There is no new business. we are not being creative in our work. Increasing use of smartphones and other devices has led to a shift away from paper (printed matter) Quality issues with current products are not being resolved The specifications of the next product have not been determined. Lack of ability to continue making competitive products An entire organization that cannot grow. The validity is unclear. Talent is hard to develop. We want to eliminate development waste with IT. Quick access to the data you need and want. Smart Wisdom-Based Manufacturing Process (IT that Supports) Centralized management of information and sharing of information among related departments Improving Business Efficiency through Formal Knowledge All information is shared and visible! Real-time information sharing. No rework. Product development with no rework Zero rework by sharing design and manufacturing data Waste-free development! I don't want to start over. No changes, a one-way process! No reworked development. Zero back-end design changes Collaborate with system design, detailed design and verification, and evaluation to develop without rework. I want to make sure that the content designed upstream is taken over. Teamwork gets it done. Share the goal image. Create value fast! We can output twice as fast as before. We want to share the process with the ideal process. I want to develop in cooperation with other departments from upstream. train people Product development as expected Make it happen as planned. Consistent Goals. Establishing a company with the world's lowest cost structure Develop attractive products by setting goals that reflect market feedback and customer requirements"
9,"There's no process available. No resource control. Not prioritizing issues and initiatives We can't always follow the rules. The development process milestones are not being followed. There's a lot of work to be done. We have not been able to train our people. Stock operations are not progressing. We're not using our knowledge effectively. Lack of resources due to rapid overseas expansion Different domestic/international capabilities. Ability to coordinate resources and schedules between projects at the program level We need a process organization to manage the entire project. Improve the accuracy of resource planning I want to be able to respond flexibly to changes in planning. Identify the number of man-hours required. Decide at the beginning of the project what the goals of the project are and how to achieve them Decide what you need to do if you're late from the agreed upon date. Processes that allow for risk management against rework. Strengthening management so that project issues do not give rise to other project issues Stretching the SOPs to the extent that development is delayed. Accurately identify and plan for future benchmarks Improving the accuracy of planning (thinking about man-hours upstream) The best way to break down anything (proper planning) Accelerate development. You're clear on what you really need without being greedy. Improved Estimation Accuracy and Inviolability Organizations that can close operations in the region Process management with minimal post-process losses Spend resources so that the design can do its job."
10,"Market share is not growing (sales are not growing) That the focus of sales is changing from goods to solutions. A change in the form of business operations from self-made to collaborative. education The atmosphere at work is gloomy. Too many outcome measures. Slow progress in business reform There are many projects for improvement and it's unclear if they are engaging The PDCA cycle is not working. There are many market claims. Quality problems in the marketplace won't go away. Cost increase due to rising material costs It's too costly to develop a control system. A long product development period and sluggish sales growth We're behind in our product development schedule. Delayed schedule due to delayed decisions Delayed schedule (development schedule delayed against schedule) Inadequate collaborative design There is a lot of design rework. Delivery time (schedule) Delayed decision-making stretches the plan. Design information is dispersed and not used efficiently. Investing in information technology is too expensive to start. Information is not being shared. Project management is standardized and there is no variation among model leaders. Ability to understand the amount of work involved in each project, and the appropriate number of man hours, members, and assignments. You can foresee the amount of time required to deal with problems and study issues (you can calculate the number of man-hours required) Adequate project management and no schedule delays Product development process is complex, but project management is good Additional work (man-hours) will be required for the management process, but it will also be understood by the field and maintain the man-hours in the field Development is taking place in other departments and we can see the issues and status of each department. Progress is not delayed even if the technology employed is difficult. Adequate analysis of capturing customer requirements and a product specification that is superior to the competition The way the product is used in the marketplace will be communicated to the developers. Customer requirements can be validated after market deployment Customer requirements (market requirements/issues) are also made known to the developers so that improvements can be made. It doesn't take a lot of time to select a system when information is scattered around. Technical documents are available to prevent past problems from recurring. The product development is standardized, which makes development more efficient. Flexibility in business operations, and easy to improve and innovate The information you want, such as cost and commonality rates, is readily available to advance your design. Standardized evaluation procedures are complete, with no omissions and no rework We are moving on to the next stage of the process, spending a sufficient number of man-hours (schedule) to make a thorough evaluation. The man-hours are sufficient, so we're moving on to the next step with enough evaluation and validation. The evaluation method is consistent and the results are not uneven Appropriate provision of design information to the outsourcer Provide guidance to ODM partners for each development contract so that the technology remains with them Standardized sharing of the development environment with external parties makes outsourcing easier."
