topic_no,label,definition,description
1,Project Management,"Plan, execute, monitor and control complex development efforts and dependencies spread across globally distributed project, product and technology teams.","Project execution management:  Schedule projects to meet key milestones and produce critical deliverables with automated execution of product development projects and delivery of resource assignments. Resource utilization management:  Track performance of projects against timelines, cost targets and requirements. Standardized software project visibility:  Enforce software quality criteria and the consolidated reporting of artifacts and processes to determine release readiness."
2,Change and Configuration Management,"Evolve products in an orderly fashion, from concept through retirement.","Change management:  Standardized, automated change processes that provide change visibility and status reporting with electronic sign-offs of change issues. BOM and configuration management:  Single source for product BOM configuration information with controlled access to relevant views which capture and trace updates throughout the product lifecycle. Integrated software release management:  Integrate software releases with the product BOM to provide a traceability to the software configuration and related software issues for a specific product component. Connected remote software update:  Remotely identify and manage the as-maintained configuration of fielded products, systems and assets; automate the installation of software updates and security patches to easily distribute packages of software instructions remotely."
3,Quality and Reliability Management,"Conduct systematic planning, prediction and simulation to ensure designs meet reliability and lifecycle cost targets.","Reliability engineering:  Project, track and analyze system and component reliability, availability and maintainability. Reliability-centered maintenance:  Construct optimal scheduled maintenance plans to improve product performance and uptime. Product/process risk management:  Reduce risk and safety issues by identifying, quantifying and mitigating risk. System and functional safety analysis:  Identify, quantify and mitigate potential safety hazards. Product quality management:  Perform ISO quality management including NCs, complaints and CAPAs connected to PLM. Manufacturing quality management:  Connect manufacturing quality and engineering via NC / CAPAs, process FMEAs and control characteristics and plans. Unique device identification (UDI):  Reduce risk of noncompliance with FDA; protect brand, reduce risk of blocked sales, reduce risk of fines/ fees. Connected product failure analysis:  Analyze field failure data collected through remote connectivity with sensor-equipped products or systems to improve root cause analysis and corrective actions, product quality, reliability and safety, preventive maintenance, and service."
4,Requirements Definition and Management,"Define and prioritize requirements, targets and constraints based on customer input, while establishing bidirectional traceability between requirements, analysis documentation, product designs, BOMs and verification data.","Requirements engineering:  Define customer, product and system requirements, and connect with downstream design, code and tests. Connected product usage analysis: Analyze product usage data collected through remote connectivity with sensor-equipped products or systems to improve product design, including requirements, features, options and variants, marketing, life cycle costs, supply chain coordination, and planning."
5,Concept Development,"Define alternate product concepts, investigate feasibility and select the best candidates.","Associative conceptual engineering:  Shorten design cycles by relating and reusing 2D engineering concepts in 3D designs. Flexible reverse engineering:  Automate the transfer of physical prototype surfaces into CAD for reuse in design. Associative industrial design:  Develop styling concepts and detailed designs concurrently by using free-form, 2D sketching or 3D associative modeling in ways that efficiently accommodate iterative changes. Design studies and trade-off analyses:  Perform design sensitivity studies to establish performance envelopes and tradeoff curves. Engineering calculation management:  Enable capture, search and reuse of engineering calculations in a secured and controlled environment alongside related design data."
6,Verification and Validation,"Digitally or physically verify that designs meet performance requirements, from individual components to assemblies to entire products.","Test management:  Continually validate product design to improve product quality and safety. Design validation /review:  Reduce cycle times, re-work and scrap by accelerating and optimizing design review with fast, accurate interference checking of complex, multi-CAD assemblies. Digital mockup:  Make product validation an integral part of PLM by using interactive animations, multi-stakeholder what-if scenarios and automated, enterprise-wide high-resolution interference checking. Custom visual applications:  Create custom applications that extend existing design validation/review tools by using robust development tools, APIs and methodologies to repurpose and optimize product data and analysis."
7,System Architecture Design,"Develop the functional and physical architecture, product model, associated specifications and derived requirements.","System design:  Create consistent, high-quality, modular system models that allow systems and software engineers to communicate requirements, decisions and alternatives team-wide. Adopt modelbased systems engineering (MBSE) approaches to greatly increase confidence in design upfront and reduce risks of expensive late  stage changes. Product line design:  Enable early-stage design for variability and reuse, allowing for consistent, high-quality designs for systems and software product lines. Systems engineering process governance:  Establish, measure, manage and improve the systems engineering process with highly scalable and practical methodologies."
8,Platform Design and Variant Generation,"Define and manage multiple product configurations to satisfy specific customer, region and market needs and accommodate design alternatives and improvements.","Product family management:  Manage a set of related product  family models offering a range of capabilities to address a variety  of customer needs. Platform structures:  Establish architectural rules and standards governing how technologies and subsystems can be integrated. Platform models:  Plan and structure larger CAD assemblies to establish modules that can be used across platforms. Platform validation:  Develop high-quality visualization and analysis of platforms and individual variants to verify business objectives. Platform operations:  Establish governance of enterprise sharing of platform information."
9,"Mechanical, Electrical and Software Development",Develop the multi-disciplinary product design so that it meets requirements and is sufficiently documented for manufacture and ready for release.,"Document management:  Provide a single source for management and evolution control of all product-related documents. Document viewing /collaboration:  Streamline reviews of office documents by using PDFs with automatic publishing, printing and maintenance to improve efficiency, reduce errors and enable more secure reviews. MCAD data management:  Provide a single source of MCAD data for disparate design teams using multiple CAD systems to avoid design conflicts and errors, and control sharing of data. MCAD viewing and collaboration:  Improve visualization and sharing of MCAD data among CAD and non-CAD users across the enterprise and supply chain with powerful and lightweight tools for reviewing multiCAD 3D data. ECAD data management:  Provide a single source for ECAD data within a fully managed BOM that synchronizes ECAD libraries with PLM Parts and MCAD models. ECAD viewing and collaboration:  Improve visualization and sharing of ECAD data among CAD and non-CAD users across the enterprise and supply chain with powerful and lightweight tools for reviewing multi-CAD PCB layout and schematic data. Design collaboration:  Enable full traceability of design changes between MCAD and ECAD to improve efficiency of designers and collaboration with teams, supplier and partners. Model-based enterprise:  Establish an integrated and collaborative environment that uses a 3D model-based design as single source shared across the enterprise to enable efficient deployment of products from concept to obsolescence. Disciplined agile software development:  Enforce a consistent, tailored, agile software development process that scales across the enterprise with an appropriate level of maturity to meet critical software development needs. Standardized software configuration management:  Standardize the management of software configurations enterprise-wide to enable global collaboration, traceability and software reuse. Adaptable 3D modeling:  Create 3D models of all mechanical parts and assemblies to ensure design accuracy while reducing or eliminating the need for expensive physical prototypes. Associative routed systems:  Concurrently develop logical schematic, 3D cabling and piping design, as well as harness and piping manufacturing instructions. Associative drawings:  Automate the generation of 2D production drawings from the 3D master model to eliminate errors and enable concurrent design and drawing development. 3D design automation:  Automate the creation of models, drawings and images derived from a set of requirements that feed directly into a set of intelligent parameterized models. Efficient multi-CAD design:  Efficiently convert and incorporate nonnative CAD data into existing designs, eliminating the need for multiple CAD systems and training; maintain design intent and easily share data in the most common CAD formats without translation or error. "
10,Product Cost Management,"Enable early, detailed visibility into cost drivers and evolving estimates to ensure that products meet cost targets.","Part cost management:  Facilitate early product cost evaluations to increase revenues by reducing product price or improve margins by reducing manufacturing costs. BOM target costing:  Roll up BOM costs to evaluate manufacturing and sourcing costs and share with the entire development team."
