no,company_id,question_type,classification,organization_level,sentence_english,sentence_japanese
1,0,1,BP,1,Lack of early design validation causing rework and re-creation,設計の初期検討が不十分で、あとになってやり直しや手戻りが多い
2,0,1,IT,2,"Users, including partners and suppliers, struggle to view and share multi-CAD design data",技術データ(CADデータ、技術文書等)の共有に苦労している
3,0,1,BP,3,"Inability to validate cost, product and service compliance during the design phase",国や地域・業界等の規制情報を設計段階で考慮できない
4,0,1,BP,5,"Lack of visibility into supply chain / manufacturing data, compliance and risk for design decisions",設計や製造の情報を、意思決定者(経営層)がタイムリーに把握できない 
5,0,1,BP,3,"Lack of traceability between software requirements and code, and visibility into release readiness",制御ソフト開発の要求仕様とコード間の追跡ができず進捗状況を把握できない
6,0,1,BP,3,Lack of integrated view of service organization or service network,保守サービス部門の組織体制やサービス網の全体を把握することが難しい
7,0,1,BP,3,Lack of collaboration due to disconnected engineering disciplines; no cross-discipline view,開発拠点が分断しお互いの連携不足のため、部門間をまたがる状況把握ができない
8,0,1,BP,1,"Limited visibility into product performance, usage, environment and quality",自社製品の顧客先での普段の利用状況がよくわからない
9,0,1,HD,1,Inability for non-CAD users to visualize / interrogate data and provide input during product development,設計ツール(CAD等) を使っていない人(営業・調達等)は、設計データを見ることができない
10,0,1,BP,4,"Inconsistent, inefficient and fragmented hardware, software and systems engineering processes",業務プロセスが全体的に一貫性がなく、個々にばらばらで仕事の効率が非常に悪い
11,0,1,HD,1,"Lack of standardization, reuse and repurpose; re-creation of designs and revalidation of requirements",データの標準化やルールが無いので、何でも新規に設計データや資料を作成する傾向が強い
12,0,1,IT,4,Cost / compliance data is scattered across systems and disconnected from the product definition,コストやコンプライアンス情報は複数のITシステムに分散し、製品データと切り離されている
13,0,1,BP,2,Inconsistent processes to identify / engage suppliers and communicate product / part requirements,サプライヤや協力会社に対して、製品や部品の要件の伝え方に一貫性がない
14,0,1,BP,2,Difficulty predicting product development projects cost and time to complete,製品開発プロジェクトの開始から完了までの総コストや所要時間を予測するのが難しい
15,0,1,BP,5,"Difficulty managing change across engineering, manufacturing, production and service",設計、調達、生産、サービスといった、ものづくり全体で変更を管理することが難しい
16,0,1,IT,3,Inflexible across manufacturing sites; lack of manufacturing process / resource reuse,製造工程のデータやリソースの再利用について、複数の拠点間で情報連携する柔軟性がない
